Label,Lemmatized_Tweets
Negatif,âşık olmak oğul de ben
Negatif,Silivri biraz ısınmak gerçi
Negatif,Hadi biraz yalamak söylemek inanmak
Negatif,gülmek Mi demek istemek yoksa Gü Mi anlamak
Negatif,se hemde anen güzel götünu sik cnm
Negatif,iş geldimi yapmak Kaynak bakı gelmedimi on gâvur yalamak yazmak ii salıyon zurna son de ahmey
Negatif,hekimevi incelmek yalnız baş çevrilgen
Negatif,deeriko kaş karmak deriko göz ela
Pozitif,i nsani lüzum yapmak parasi deği l karakter Şi Li ği di R
Pozitif,Büşra oturmak yer demek sen Büşra
Pozitif,ağırlık koymak bir batman lazım
Pozitif,Yang yanal sıkıntı değmek
Pozitif,tiş görünmek önem deyil güzelik geçmek önem olmak insan içmek güzel sevmek karteşim ben
Negatif,se hemde anen güzel götünu sik cnm
Negatif,iş geldimi yapmak Kaynak bakı gelmedimi on gâvur yalamak yazmak ii salıyon zurna son de ahmey
Negatif,Prof Dr kâr Şule çet dava önem delil kaymak üniversite öğrenci Şule çet inmek 23 28 Mayıs 2018 Ankara cin saldırı uğramak Plaza 20 kat atmak iddia etmek çet inmek ölümüne ilişkin delil olmak yeni bulgu gün yüz çıkarmak Mers
Negatif,Se yan se yakmak
Negatif,12 hit durmak dış maalesef değmek
Negatif,asker bardak kepçe çay koyuyolar çay dem su karışık ayarlamak yok
Negatif,yarmak çalışmak pazartesi çalışmak Can Burn demek hava yorgun çokk
Negatif,anlam sömürmek bir gezegen olmak
Negatif,Souza şimdi kadar Fenerbahçe izlemek kötü şut çekmek Orta Saha Josico fa dahil
Pozitif,dünya Mut insan olmak
Pozitif,ben sen sormak sen mesaj atmak
Pozitif,dün maç çıldırmak ses kısmak bugün keyif sürmek maç kadar güzel güzel biliyo Mu Ö biçim güzel
Pozitif,kadro say mezun say artmak azalmak tapu kadastro genelmek müdür yerel Yönet genelmek müdür Mill emlak genelmek müdür 20bini Aşkın mezun kadro beklemek
Pozitif,Furkan girmek oyun iç Ersan girmek oyun önemek geçmek
Pozitif,kadar sarık Rize üflemek
Pozitif,se sevmek bakmak deprem olmak sallamak yine sevmek
Negatif,denk yaz gelen kadar ev çıkmak üşümek
Negatif,köy su depo arefe gece geçmek olmak bir miktar su aktarmak olmak yetersiz kalmak devlet sorun kısa süre çözmek kuşku şüphe yok fakat susuz köy hat safha oerişan etmek gerek arz eder
Negatif,şubattasağlığa 60binatama artık yormak sormak herkes ata beklemek demek yormak
Negatif,ben kıskanç değmek kıskanmak göstermek içim atmak mahvetmek
Pozitif,Dm Doğu tarih yer zaman isim yollamak Doğu harita okumak kendi özemek çıkarmak pay Hadi Bakal
Pozitif,dün gece yorum kısa özet Yönet futbol geçmek gidermek Fati H ter M le kalmak
Pozitif,hayat tamam işte ben on demek zaten konuşmak anlaşmak evet az kok denemek
