Label,Tweet
Negatif,aşık olsana oğlum delendirme beni
Negatif,silivri biraz ısınmıştır gerçi
Negatif,hadi biraz yalan söyleyin inanalım
Negatif,güleceğiz mi demek istedin yoksa güler mi anlayamadım
Negatif,seni hemde anen güzel götünu sikiyim cnm
Negatif,işine geldimi yapancı kaynaklara bakın gelmedimi onlar gavur yalan yazar ii salıyon zurnanın son deli ahmey
Negatif,hekimevi incelme yalnız başına çevrilgen
Negatif,deeriko kaşlar kara deriko gözler ela
Pozitif,i nsani lüzumlu yapan parasi deği l karakteri şi li ği di r
Pozitif,büşram otur yerine dedim sana büşram
Pozitif,ağırlığını koyan bir batman lazım
Pozitif,yangınsan yanalım sıkıntı değil
Pozitif,tiş görünüş önemli deyil güzelik geçicidir önemli olan insanın iç güzelliği sevilmesi karteşim benim
Negatif,seni hemde anen güzel götünu sikiyim cnm
Negatif,işine geldimi yapancı kaynaklara bakın gelmedimi onlar gavur yalan yazar ii salıyon zurnanın son deli ahmey
Negatif,prof dr kar şule çet davasında önemli delil kayıp üniversite öğrencisi şule çet in 23 28 mayıs 2018 ankara cinsel saldırıya uğrayıp plazanın 20 katından atıldığı iddia ediliyor çet in ölümüne ilişkin delil olabilecek yeni bulguları gün yüzüne çıkartan mers
Negatif,senin yansın seni yaksın
Negatif,12 hiti duruşu dışında maalesef değil
Negatif,askerde bardağa kepçeyle çay koyuyolar çayın demiyle suyu karışık ayarlama yok
Negatif,yarın çalışıyorum pazarteside çalışıyorum canım burnumda dedikleri havadayım yorgunum çokk
Negatif,anlamı sömürülecek bir gezegenimiz oldu
Negatif,souza şimdiye kadar fenerbahçe izlediğim kötü şut çeken orta saha josico falan dahil
Pozitif,dünyanın mutlu insanı olurdum
Pozitif,ben sana soracağım sana mesaj atamıyorum
Pozitif,dün maçta çıldırdık sesimiz kısıldı bugün keyfini sürüyoruz maç kadar güzel güzel biliyo musun öyle biçim güzel
