Label,Tweet
Negatif,aşık olsana oğlum delendirme beni
Negatif,silivri de biraz ısınmıştır gerçi
Negatif,hadi biraz yalan söyleyin de inanalım
Negatif,güleceğiz mi demek istedin yoksa güler mi anlayamadım
Negatif,hem seni hemde anen o güzel götünu sikiyim cnm
Negatif,işine geldimi yapancı kaynaklara bakın gelmedimi onlar gavur yalan yazar ii salıyon zurnanın son deli ahmey
Negatif,hekimevi incelme yalnız başına çevrilgen
Negatif,deeriko kaşlar kara deriko gözler ela
Pozitif,"i̇nsani lüzumlu yapan parasi deği̇l, karakteri̇, ki̇şi̇li̇ği̇di̇r"
Pozitif,büşram otur yerine dedim sana büşram
Pozitif,ağırlığını koyan bir batman lazım
Pozitif,“yangınsan yanalım hiç sıkıntı değil.”
Pozitif,tiş görünüş önemli deyil güzelik geçicidir önemli olan insanın iç güzelliği ile sevilmesi karteşim benim
Negatif,hem seni hemde anen o güzel götünu sikiyim cnm
Negatif,işine geldimi yapancı kaynaklara bakın gelmedimi onlar gavur yalan yazar ii salıyon zurnanın son deli ahmey
Negatif,"prof. dr. kar: şule çet davasında en önemli delil kayıp üniversite öğrencisi şule çet’in (23), 28 mayıs 2018’de ankara’da, cinsel saldırıya uğrayıp plazanın 20. katından atıldığı iddia ediliyor. çet’in ölümüne ilişkin delil olabilecek yeni bulguları gün yüzüne çıkartan mers…"
Negatif,senin için yansın ama seni yaksın
Negatif,12 hiti ve duruşu dışında maalesef çok da şey değil
Negatif,askerde bu bardağa kepçeyle çay koyuyolar ve çayın demiyle suyu karışık ayarlama diye birşey yok
Negatif,yarın da çalışıyorum pazarteside çalışıyorum canım burnumda dedikleri havadayım çok yorgunum çokk
Negatif,anlamı: sömürülecek bir gezegenimiz daha oldu
Negatif,"souza şimdiye kadar fenerbahçe’de izlediğim en kötü şut çeken orta saha, josico falan dahil"
Pozitif,dünyanın en mutlu insanı olurdum
Pozitif,ya ben sana birşey soracağım ama sana mesaj atamıyorum
Pozitif,dün maçta çıldırdık. sesimiz kısıldı. bugün keyfini sürüyoruz. bu maç o kadar güzel ki. ama nasıl güzel biliyo musun. öyle o biçim güzel
Pozitif,"kadro sayımız mezun sayımız gibi artmalı azalmamalı. tapu ve kadastro genel müdürlüğü, yerel yönetimler genel müdürlüğü milli emlak genel müdürlüğü 20bini aşkın mezun kadro bekliyor!"
Pozitif,furkan da girdi oyunun içine ersan da girerse oyuna öne geçeriz
Pozitif,bu kadar sarıklı rize için üfleseler!
Pozitif,seni çok seviyorum bak deprem oldu sallandık yine de seviyorum
Negatif,denkleştirdim yaz gelene kadar evden çıkmazsam hiç üşümem
Negatif,köyün su depolarına arefe gecesi geçici olarak bir miktar su aktarılmış olup bu da çok yetersiz kalmıştır. devletimizin bu sorunu en kısa sürede çözeceğinden kuşkusuz şüphemiz yoktur. fakat susuzluk köylüyü hat safhada oerişan etmiştir. gereğini arz ederim
Negatif,şubattasağlığa 60binatama artık yorulduk soran herkese atama bekliyoruz demekten yorulduk.
Negatif,beni kıskançlık değil kıskandığımı gösteremeyip içime atmalar mahvetti
Pozitif,"dmden doğum tarihinizi, yerinizi, zamanınızı ve isminizi yollayın doğum haritanızı okuyup kendimce özet çıkarıp paylaşayım hadi bakalım"
